主犯	Principal_criminal
交通肇事	Traffic_accident
代理	Agency
伪造	Faking
使呈现	Cause_to_present
使形成	Cause－coming_to_be
使满足	Cause_to_satisfy
侮辱诽谤	Insulting_and_slandering
侵占	Conversion
信息	Imformation
假释	Parole
充当	Acting_as
共同犯罪	Joint_offence
刑事责任	Criminal_responsibil
刑法	Criminal_law
刑罚	Criminal_penalty
劝服	Suation
反映	Reaction
发明	Invention
取保候审	Obtain_a_guarantor_pending_trial
受贿	Venality
同意	Agreeing
商业情境	Commerce_transaction
外观	Appearance
失火	Fire_by_imprudence
实现	Achieve
寻衅滋事	Causing_disturbances
巨额财产来源不明	Huge_property_unidentified
引起关押	Cause_confinement
强制措施	Enforcement_measures
思想	Thinking
情感体验	Experiencer_subj
想象	Imagination
意外事件	Accident
意识	Consciousness
投放危险物质	Delivering_hazardous_substances
拐卖妇女儿童	Trafficking_in_women_and_children
拘传	Summon_by_warrant
持有	Holding
挪用公款	Misappropriate_public_funds
推理	Deducing
故意	Intent
故意伤害	Intentional_injury
故意杀人	Voluntary_manslaughter
教唆犯	Abettor
数罪并罚	Joinder_of_punishment_for_plural_crimes
正当防卫	Defend
毒品	Drugs
比较	Comparison
犯罪	Crime
犯罪主体	Crime_subject
犯罪动机	Crime_motive
犯罪对象	Crime_target
犯罪既遂	Crime_completion
犯罪目的	Criminal_purpose
玩忽职守	Dereliction_of_duty
知觉特征	perception_description_holistic
窝藏	Harboring
立功	Offset_guilty_by_merit
等同	Equating
管辖	Jurisdiction
紧急避险	Urgent_danger_prevention
累犯	Recidivist
缓刑	Probation
行贿	Bribing
补充	Supplementing
被触发物	Getting_triggered
觉醒	Awakening
计划	Planing
认知	Cognition
诈骗	Defraud
贩卖	Traffic_in
贪污	Corruption
过失	Negligence
过失致人死亡	Manslaughter
进出口	Import_export
重视	Place_weight_on
量变	Change_position_on_a_scal
间谍	Spy
阅读	Reading
非法拘禁	Illegal_detention
